date	number	number
Time	External	Internal
2013/01/31	0	0
2013/02/28	0	0
2013/03/31	0	0
2013/04/30	0	0
2013/05/31	0	0
2013/06/30	0	0
2013/07/31	0	0
2013/08/31	0	0
2013/09/30	0	0
2013/10/31	0	0
2013/11/30	0	0
2013/12/31	0	0
2014/01/31	0	0
2014/02/28	0	0
2014/03/31	0	0
2014/04/30	0	0
2014/05/31	0	0
2014/06/30	0	0
2014/07/31	0	0
2014/08/31	0	0
2014/09/30	0	0
2014/10/31	0	0
2014/11/30	0	0
2014/12/31	0	0
2015/01/31	0	0
2015/02/28	21204	21545
2015/03/31	37952	31116
2015/04/30	132408	130453
2015/05/31	49104	46142
2015/06/30	34858	32647
2015/07/31	17589	17151
2015/08/31	21708	20270
2015/09/30	20628	19715
2015/10/31	31266	29242
2015/11/30	17297	16667
2015/12/31	14300	13984
2016/01/31	24325	22770
2016/02/29	30366	29824
2016/03/31	27370	26772
2016/04/30	42642	41668
2016/05/31	23044	21972
2016/06/30	0	0
2016/07/31	0	0
2016/08/31	0	0
2016/09/30	0	0
2016/10/31	0	0
2016/11/30	0	0
2016/12/31	0	0
2017/01/31	923	0
2017/02/28	838	0
2017/03/31	1031	0
2017/04/30	1712	0
2017/05/31	592	0
2017/06/30	736	0
2017/07/31	576	0
2017/08/31	781	0
2017/09/30	2560518	0
2017/10/31	3170	0
2017/11/30	5837362	0
2017/12/31	558	0
2018/01/31	450	0
2018/02/28	417	0
