date	number	number	number	number	number	number
Time	User edits	User edits in month	Test/tutorial edits	Test/tutorial edits in month	Bot edits	Bot edits in month
2013/01/31	10328	155	1437	42	7983	32
2013/02/28	10530	202	1460	23	8525	542
2013/03/31	10696	166	1481	21	8560	35
2013/04/30	10839	143	1486	5	8630	70
2013/05/31	10929	90	1487	1	8964	334
2013/06/30	11879	950	1491	4	9012	48
2013/07/31	12433	554	1492	1	10271	1259
2013/08/31	12549	116	1492	0	10282	11
2013/09/30	12738	189	1492	0	10294	12
2013/10/31	13118	380	1511	19	10867	573
2013/11/30	13329	211	1512	1	10872	5
2013/12/31	13632	303	1513	1	10877	5
2014/01/31	13834	202	1513	0	10893	16
2014/02/28	13943	109	1513	0	10943	50
2014/03/31	13999	56	1517	4	10955	12
2014/04/30	14388	389	1531	14	10962	7
2014/05/31	14738	350	1535	4	10964	2
2014/06/30	15226	488	1541	6	10976	12
2014/07/31	15749	523	1541	0	10978	2
2014/08/31	15816	67	1542	1	10980	2
2014/09/30	15942	126	1547	5	11004	24
2014/10/31	16109	167	1547	0	11005	1
2014/11/30	16145	36	1547	0	11009	4
2014/12/31	16239	94	1550	3	11029	20
2015/01/31	16352	113	1551	1	11258	229
2015/02/28	16404	52	1553	2	11261	3
2015/03/31	16679	275	1553	0	11278	17
2015/04/30	16908	229	1556	3	11279	1
2015/05/31	17025	117	1562	6	11283	4
2015/06/30	17526	501	1563	1	11285	2
2015/07/31	17617	91	1569	6	11287	2
2015/08/31	17969	352	1574	5	11297	10
2015/09/30	18227	258	1576	2	11301	4
2015/10/31	18304	77	1576	0	11303	2
2015/11/30	18802	498	1582	6	11304	1
2015/12/31	18880	78	1589	7	11306	2
2016/01/31	18952	72	1595	6	11316	10
2016/02/29	19074	122	1615	20	11325	9
2016/03/31	19313	219	1622	7	11336	11
2016/04/30	19459	146	1630	8	11339	3
2016/05/31	19576	117	1637	7	11341	2
2016/06/30	19837	261	1648	11	11344	3
2016/07/31	21475	1638	1651	3	11407	63
2016/08/31	22321	846	1654	3	11415	8
2016/09/30	22599	278	1661	7	11415	0
2016/10/31	22930	331	1661	0	11427	12
2016/11/30	23047	117	1705	44	11430	3
2016/12/31	23324	277	1767	62	11431	1
2017/01/31	23388	64	1781	14	11431	0
2017/02/28	23409	21	1783	2	11434	3
2017/03/31	23471	62	1787	4	11435	1
2017/04/30	23518	47	1833	46	11438	3
2017/05/31	23589	71	1834	1	11439	1
2017/06/30	23700	111	1834	0	11441	2
2017/07/31	23902	202	1835	1	11443	2
2017/08/31	24902	1000	1835	0	11444	1
2017/09/30	25031	129	1836	1	11444	0
2017/10/31	25262	231	1837	1	11444	0
2017/11/30	25357	95	1840	3	11445	1
2017/12/31	25520	163	1842	2	11452	7
2018/01/31	25741	221	1847	5	11454	2
2018/02/28	25957	216	1854	7	11455	1
