Pathway 1	Pathway 2	Nr shared xrefs	Nr xrefs pathway 1	Nr xrefs pathway 2	Nr unique xrefs both pathways
WP111	WP550	0	115	32	147
WP111	WP690	0	115	11	126
WP111	WP183	0	115	65	180
WP111	WP554	0	115	12	127
WP111	WP186	0	115	13	128
WP111	WP688	3	115	12	124
WP111	WP710	0	115	97	212
WP111	WP247	0	115	18	133
WP111	WP366	0	115	151	266
WP111	WP4	0	115	44	159
WP111	WP12	0	115	18	133
WP111	WP288	0	115	10	125
WP111	WP1466	0	115	0	115
WP111	WP1403	0	115	74	189
WP111	WP127	0	115	69	184
WP111	WP530	0	115	30	145
WP111	WP106	0	115	18	133
WP111	WP496	0	115	20	135
WP111	WP325	0	115	35	150
WP111	WP692	0	115	28	143
WP111	WP1436	0	115	0	115
WP111	WP1456	0	115	71	186
WP111	WP481	0	115	160	275
WP111	WP615	0	115	99	214
WP111	WP1445	0	115	139	254
WP111	WP501	0	115	15	130
WP111	WP707	0	115	70	185
WP111	WP727	0	115	44	159
WP111	WP560	0	115	52	167
WP111	WP286	0	115	101	216
WP111	WP53	0	115	52	167
WP111	WP1444	0	115	120	235
WP111	WP678	2	115	16	129
WP111	WP1422	0	115	62	177
WP111	WP558	0	115	65	180
WP111	WP254	0	115	83	198
WP111	WP1424	0	115	28	143
WP111	WP69	0	115	135	250
WP111	WP51	0	115	153	268
WP111	WP465	0	115	74	189
WP111	WP364	0	115	100	215
WP111	WP1448	0	115	148	263
WP111	WP47	0	115	22	137
WP111	WP22	0	115	24	139
WP111	WP136	0	115	9	124
WP111	WP581	0	115	26	141
WP111	WP1443	0	115	120	235
WP111	WP666	0	115	35	150
WP111	WP236	1	115	131	245
WP111	WP497	0	115	49	164
WP111	WP320	0	115	0	115
WP111	WP167	0	115	33	148
WP111	WP197	0	115	29	144
WP111	WP195	0	115	38	153
WP111	WP534	0	115	59	174
WP111	WP696	0	115	9	124
WP111	WP205	0	115	44	159
WP111	WP107	0	115	50	165
WP111	WP311	0	115	10	125
WP111	WP661	0	115	21	136
WP111	WP531	0	115	9	124
WP111	WP411	0	115	129	244
WP111	WP706	0	115	71	186
WP111	WP715	0	115	5	120
WP111	WP272	0	115	24	139
WP111	WP306	0	115	188	303
WP111	WP732	0	115	20	135
WP111	WP35	0	115	96	211
WP111	WP545	1	115	18	132
WP111	WP23	0	115	158	273
WP111	WP179	0	115	90	205
WP111	WP430	0	115	35	150
WP111	WP410	1	115	48	162
WP111	WP1462	0	115	1	116
WP111	WP623	59	115	68	127
WP111	WP400	0	115	34	149
WP111	WP61	0	115	85	200
WP111	WP716	0	115	62	177
WP111	WP428	0	115	61	176
WP111	WP313	0	115	34	149
WP111	WP1442	0	115	120	235
WP111	WP34	0	115	30	145
WP111	WP289	0	115	160	275
WP111	WP382	0	115	162	277
WP111	WP129	0	115	31	146
WP111	WP117	0	115	103	218
WP111	WP474	1	115	66	180
WP111	WP241	0	115	43	158
WP111	WP466	0	115	49	164
WP111	WP383	0	115	38	153
WP111	WP185	0	115	99	214
WP111	WP399	0	115	98	213
WP111	WP524	0	115	37	152
WP111	WP15	2	115	191	304
WP111	WP143	0	115	43	158
WP111	WP1432	0	115	0	115
WP111	WP694	0	115	10	125
WP111	WP299	0	115	41	156
WP111	WP100	0	115	38	153
WP111	WP405	0	115	41	156
WP111	WP477	0	115	88	203
WP111	WP704	0	115	14	129
WP111	WP500	0	115	42	157
WP111	WP80	0	115	13	128
WP111	WP138	2	115	112	225
WP111	WP24	0	115	75	190
WP111	WP521	0	115	13	128
WP111	WP536	0	115	152	267
WP111	WP304	0	115	67	182
WP111	WP1435	0	115	97	212
WP111	WP134	0	115	18	133
WP111	WP712	0	115	22	137
WP111	WP357	0	115	25	140
WP111	WP691	0	115	30	145
WP111	WP229	0	115	14	129
WP111	WP1434	0	115	11	126
WP111	WP408	0	115	28	143
WP111	WP561	2	115	22	135
WP111	WP363	0	115	110	225
WP111	WP733	0	115	5	120
WP111	WP237	0	115	21	136
WP111	WP1438	0	115	14	129
WP111	WP28	0	115	47	162
WP111	WP262	0	115	23	138
WP111	WP702	0	115	188	303
WP111	WP58	0	115	41	156
WP111	WP268	0	115	46	161
WP111	WP384	0	115	18	133
WP111	WP1441	0	115	113	228
WP111	WP334	0	115	23	138
WP111	WP49	0	115	76	191
WP111	WP516	0	115	20	135
WP111	WP43	0	115	71	186
WP111	WP585	0	115	28	143
WP111	WP1423	0	115	28	143
WP111	WP244	0	115	67	182
WP111	WP722	0	115	38	153
WP111	WP686	0	115	2	117
WP111	WP698	2	115	40	153
WP111	WP673	0	115	47	162
WP111	WP98	0	115	40	155
WP111	WP1433	0	115	41	156
WP584	WP453	0	0	33	33
WP584	WP75	0	0	102	102
WP584	WP438	0	0	8	8
WP584	WP1425	0	0	12	12
WP584	WP231	0	0	187	187
WP584	WP697	0	0	32	32
WP584	WP1449	0	0	150	150
WP584	WP78	0	0	40	40
WP584	WP259	0	0	6	6
WP584	WP422	0	0	31	31
WP584	WP322	0	0	17	17
WP584	WP391	0	0	22	22
WP584	WP26	0	0	25	25
WP584	WP395	0	0	62	62
WP584	WP734	0	0	21	21
WP584	WP404	0	0	36	36
WP584	WP368	0	0	19	19
WP584	WP206	0	0	15	15
WP584	WP455	0	0	268	268
WP584	WP437	0	0	177	177
WP584	WP3	0	0	16	16
WP584	WP699	0	0	14	14
WP584	WP1458	0	0	0	0
WP584	WP619	0	0	37	37
WP584	WP176	0	0	105	105
WP584	WP1437	0	0	0	0
WP584	WP45	0	0	67	67
WP584	WP528	0	0	17	17
WP584	WP550	0	0	32	32
WP584	WP690	0	0	11	11
WP584	WP183	0	0	65	65
WP584	WP554	0	0	12	12
WP584	WP186	0	0	13	13
WP584	WP688	0	0	12	12
WP584	WP710	0	0	97	97
WP584	WP247	0	0	18	18
WP584	WP366	0	0	151	151
WP584	WP4	0	0	44	44
WP584	WP12	0	0	18	18
WP584	WP288	0	0	10	10
WP584	WP1466	0	0	0	0
WP584	WP1403	0	0	74	74
WP584	WP127	0	0	69	69
WP584	WP530	0	0	30	30
WP584	WP106	0	0	18	18
WP584	WP496	0	0	20	20
WP584	WP325	0	0	35	35
WP584	WP692	0	0	28	28
WP584	WP1436	0	0	0	0
WP584	WP1456	0	0	71	71
WP584	WP481	0	0	160	160
WP584	WP615	0	0	99	99
WP584	WP1445	0	0	139	139
WP584	WP501	0	0	15	15
WP584	WP707	0	0	70	70
WP584	WP727	0	0	44	44
WP584	WP560	0	0	52	52
WP584	WP286	0	0	101	101
WP584	WP53	0	0	52	52
WP584	WP1444	0	0	120	120
WP584	WP678	0	0	16	16
WP584	WP1422	0	0	62	62
WP584	WP558	0	0	65	65
WP584	WP254	0	0	83	83
WP584	WP1424	0	0	28	28
WP584	WP69	0	0	135	135
WP584	WP51	0	0	153	153
WP584	WP465	0	0	74	74
WP584	WP364	0	0	100	100
WP584	WP1448	0	0	148	148
WP584	WP47	0	0	22	22
WP584	WP22	0	0	24	24
WP584	WP136	0	0	9	9
WP584	WP581	0	0	26	26
WP584	WP1443	0	0	120	120
WP584	WP666	0	0	35	35
WP584	WP236	0	0	131	131
WP584	WP497	0	0	49	49
WP584	WP320	0	0	0	0
WP584	WP167	0	0	33	33
WP584	WP197	0	0	29	29
WP584	WP195	0	0	38	38
WP584	WP534	0	0	59	59
WP584	WP696	0	0	9	9
WP584	WP205	0	0	44	44
WP584	WP107	0	0	50	50
